# Event	Time [ms]	ADC	datum
254	3810	0	6956
254	3810	1	0
254	3810	2	1559
254	3810	3	1661
255	3815	0	4903
255	3815	1	0
255	3815	2	1562
255	3815	3	1579
256	3824	0	7771
256	3824	1	0
256	3824	2	1552
256	3824	3	1677
257	3833	0	6131
257	3833	1	0
257	3833	2	1559
257	3833	3	1628
258	3834	0	8191
258	3834	1	0
258	3834	2	1663
258	3834	3	1570
259	3836	0	8191
259	3836	1	0
259	3836	2	1566
259	3836	3	1695
260	3839	0	8191
260	3839	1	0
260	3839	2	1679
260	3839	3	1543
261	3873	0	5722
261	3873	1	0
261	3873	2	1559
261	3873	3	1621
262	3923	0	7361
262	3923	1	0
262	3923	2	1554
262	3923	3	1671
263	3926	2	1570
263	3926	3	1580
264	3949	0	8183
264	3949	1	0
264	3949	2	1559
264	3949	3	1684
265	3951	2	1619
265	3951	3	1586
266	3965	0	8191
266	3965	1	0
266	3965	2	1646
266	3965	3	1555
267	3974	2	1571
267	3974	3	1576
268	3974	0	8179
268	3974	1	107
268	3974	2	1562
268	3974	3	1676
269	3988	0	6542
269	3988	1	0
269	3988	2	1536
269	3988	3	1623
270	4028	2	1559
270	4028	3	1679
271	4034	0	4901
271	4034	1	0
271	4034	2	1571
271	4034	3	1579
272	4037	0	8191
272	4037	1	0
273	4039	2	1674
273	4039	3	1619
274	4044	0	5721
274	4044	1	49
274	4044	2	1573
274	4044	3	1615
275	4047	0	4490
275	4047	1	0
275	4047	2	1592
275	4047	3	1569
276	4066	0	1621
276	4066	1	0
276	4066	2	1650
276	4066	3	1515
277	4067	0	2032
277	4067	1	48
277	4067	2	1633
277	4067	3	1510
278	4093	2	1666
278	4093	3	1571
279	4094	0	6542
279	4094	1	65
279	4094	2	1572
279	4094	3	1642
280	4097	0	8191
280	4097	1	57
280	4097	2	1667
280	4097	3	1563
281	4100	2	1551
281	4100	3	1646
282	4106	0	7770
282	4106	1	0
282	4106	2	1676
282	4106	3	1623
283	4116	0	8191
283	4116	1	0
283	4116	2	1662
283	4116	3	1552
284	4121	0	6952
284	4121	1	0
284	4121	2	1550
284	4121	3	1662
285	4124	0	6545
285	4124	1	0
285	4124	2	1552
285	4124	3	1644
286	4131	0	5723
286	4131	1	0
286	4131	2	1565
286	4131	3	1606
287	4135	0	2032
287	4135	1	0
287	4135	2	1630
287	4135	3	1512
288	4138	0	8191
288	4138	1	0
288	4138	2	1566
288	4138	3	1714
289	4140	0	8191
289	4140	1	0
289	4140	2	1656
289	4140	3	1591
290	4149	0	8191
290	4149	1	0
290	4149	2	1668
290	4149	3	1558
291	4172	0	1620
291	4172	1	0
291	4172	2	1645
291	4172	3	1514
292	4176	0	8191
292	4176	1	0
292	4176	2	1568
292	4176	3	1691
293	4183	0	802
293	4183	1	0
293	4183	2	1649
293	4183	3	1523
294	4193	0	8191
294	4193	1	89
294	4193	2	1651
294	4193	3	1539
295	4216	0	5722
295	4216	1	0
295	4216	2	1572
295	4216	3	1605
296	4223	2	1549
296	4223	3	1542
297	4228	0	4492
